questSystemName,questName,questRank,questPrompt,questAuraGranted,questEventCount,questEventUnits
Walk System,Walk 4.00 Miles - Session 3,16,Complete a walk of 4.00 miles to improve your stamina,40.0,4.00,miles
Walk System,Walk 4.25 Miles - Session 1,17,Achieve 4.25 miles walking to enhance your endurance,42.5,4.25,miles
Walk System,Walk 4.25 Miles - Session 2,17,Embark on a walk of 4.25 miles for overall wellness,42.5,4.25,miles
Walk System,Walk 4.25 Miles - Session 3,17,Walk 4.25 miles to boost your cardiovascular health,42.5,4.25,miles
Walk System,Walk 4.50 Miles - Session 1,18,Take a brisk walk of 4.50 miles to energize your day,45.0,4.50,miles
Walk System,Walk 4.50 Miles - Session 2,18,Complete a walk of 4.50 miles to improve your stamina,45.0,4.50,miles
Walk System,Walk 4.50 Miles - Session 3,18,Achieve 4.50 miles walking to enhance your endurance,45.0,4.50,miles
Walk System,Walk 4.75 Miles - Session 1,19,Embark on a walk of 4.75 miles for overall wellness,47.5,4.75,miles
Walk System,Walk 4.75 Miles - Session 2,19,Walk 4.75 miles to boost your cardiovascular health,47.5,4.75,miles
Walk System,Walk 4.75 Miles - Session 3,19,Take a brisk walk of 4.75 miles to energize your day,47.5,4.75,miles
Walk System,Walk 5.00 Miles - Session 1,20,Complete a walk of 5.00 miles to improve your stamina,50.0,5.00,miles
Walk System,Walk 5.00 Miles - Session 2,20,Achieve 5.00 miles walking to enhance your endurance,50.0,5.00,miles
Walk System,Walk 5.00 Miles - Session 3,20,Embark on a walk of 5.00 miles for overall wellness,50.0,5.00,miles
